Country Code,year,gdp_per_capita,Income
AUS,2020,51791.54018,EAP
BRN,2020,26834.35925,EAP
CHN,2020,10627.4638,EAP
FJI,2020,4844.421272,EAP
FSM,2020,3362.027931,EAP
HKG,2020,46109.22999,EAP
IDN,2020,3853.702888,EAP
JPN,2020,40028.73417,EAP
KHM,2020,2081.739142,EAP
KIR,2020,1751.78232,EAP
LAO,2020,2583.777307,EAP
MAC,2020,36976.25611,EAP
MMR,2020,1490.216835,EAP
MNG,2020,4001.251931,EAP
MYS,2020,9957.526267,EAP
NZL,2020,41850.92033,EAP
PHL,2020,3227.579102,EAP
PNG,2020,2429.611346,EAP
SGP,2020,61410.07926,EAP
SLB,2020,2063.331015,EAP
THA,2020,6985.643939,EAP
TLS,2020,1630.869385,EAP
VNM,2020,3534.039535,EAP
VUT,2020,3042.987116,EAP
WSM,2020,4099.660091,EAP
ALB,2020,5370.7775,ECA
ARM,2020,4268.680933,ECA
AUT,2020,48716.40989,ECA
AZE,2020,4229.910649,ECA
BEL,2020,45906.28758,ECA
BGR,2020,10769.94757,ECA
BIH,2020,6130.311332,ECA
BLR,2020,6542.8558,ECA
CHE,2020,85897.78433,ECA
CYP,2020,28649.01563,ECA
CZE,2020,23472.89155,ECA
DEU,2020,47379.76519,ECA
DNK,2020,60985.48856,ECA
ESP,2020,27233.94265,ECA
EST,2020,23933.99394,ECA
FIN,2020,48828.68469,ECA
FRA,2020,39169.8606,ECA
GBR,2020,40404.80622,ECA
GEO,2020,4300.857013,ECA
GRC,2020,17886.73317,ECA
HRV,2020,14808.46202,ECA
HUN,2020,16386.93088,ECA
IRL,2020,86622.50673,ECA
ISL,2020,59023.56635,ECA
ITA,2020,32091.48666,ECA
KAZ,2020,8781.507978,ECA
KGZ,2020,1229.517666,ECA
LTU,2020,20428.64782,ECA
LUX,2020,116860.0282,ECA
LVA,2020,17564.23215,ECA
MDA,2020,4375.778893,ECA
MKD,2020,6659.596511,ECA
MNE,2020,7612.628459,ECA
NLD,2020,53467.92774,ECA
NOR,2020,68340.0181,ECA
POL,2020,16150.9291,ECA
PRT,2020,22299.40441,ECA
ROU,2020,13082.30066,ECA
RUS,2020,10108.32715,ECA
SRB,2020,8098.709557,ECA
SVK,2020,19735.48583,ECA
SVN,2020,25392.06511,ECA
SWE,2020,52653.75659,ECA
TJK,2020,834.3117155,ECA
TKM,2020,6592.60146,ECA
TUR,2020,8638.739038,ECA
UKR,2020,3709.769287,ECA
UZB,2020,1978.280519,ECA
ARE,2020,37173.87541,HIC
ATG,2020,15369.60823,HIC
BHR,2020,24342.84446,HIC
BHS,2020,26178.75376,HIC
BRB,2020,18347.11091,HIC
CAN,2020,43537.8393,HIC
CHL,2020,13114.81547,HIC
CRI,2020,12394.0494,HIC
GUY,2020,6775.709391,HIC
ISR,2020,44575.5719,HIC
KWT,2020,25236.07555,HIC
MLT,2020,31833.59638,HIC
OMN,2020,16784.86306,HIC
PAN,2020,13290.56083,HIC
PRI,2020,31427.11308,HIC
QAT,2020,51683.50544,HIC
SAU,2020,24338.83073,HIC
SYC,2020,14041.47541,HIC
TTO,2020,15358.8613,HIC
URY,2020,15757.5356,HIC
USA,2020,64401.50744,HIC
ARG,2020,8535.59938,LAC
BLZ,2020,5227.193638,LAC
BOL,2020,3099.942191,LAC
BRA,2020,7074.193783,LAC
COL,2020,5339.687114,LAC
DOM,2020,7135.222733,LAC
ECU,2020,5463.645153,LAC
GRD,2020,8968.558901,LAC
GTM,2020,4477.617618,LAC
HND,2020,2307.614943,LAC
HTI,2020,1290.325387,LAC
JAM,2020,4879.440258,LAC
LCA,2020,8411.074749,LAC
MEX,2020,8841.270751,LAC
NIC,2020,1938.447048,LAC
PER,2020,6133.325524,LAC
PRY,2020,5365.472207,LAC
SLV,2020,3997.192796,LAC
SUR,2020,4755.392217,LAC
VCT,2020,8351.20324,LAC
BDI,2020,210.0081399,LIC
BFA,2020,825.2370388,LIC
CAF,2020,462.8790713,LIC
COD,2020,507.5212301,LIC
GMB,2020,720.3351434,LIC
GNB,2020,836.2673142,LIC
LBR,2020,616.787867,LIC
MDG,2020,450.7716152,LIC
MLI,2020,953.2429433,LIC
MOZ,2020,462.4338765,LIC
MWI,2020,602.5074782,LIC
NER,2020,579.5124958,LIC
RWA,2020,778.7014988,LIC
SDN,2020,577.7952271,LIC
SLE,2020,845.9829143,LIC
SOM,2020,518.1847785,LIC
TCD,2020,866.9478149,LIC
TGO,2020,853.5782203,LIC
UGA,2020,845.7664639,LIC
AGO,2020,1449.922867,LMC
BEN,2020,1200.194266,LMC
BGD,2020,2248.850788,LMC
CIV,2020,2179.729348,LMC
CMR,2020,1555.603707,LMC
COG,2020,1993.586672,LMC
COM,2020,1527.169909,LMC
DJI,2020,2844.888106,LMC
EGY,2020,3511.11381,LMC
GHA,2020,2195.454817,LMC
GIN,2020,1053.660977,LMC
IND,2020,1907.042516,LMC
JOR,2020,4022.040136,LMC
KEN,2020,1927.66459,LMC
LKA,2020,3847.601377,LMC
LSO,2020,918.5825774,LMC
MAR,2020,3268.030273,LMC
MRT,2020,1795.764596,LMC
NAM,2020,3878.58983,LMC
NGA,2020,2019.657063,LMC
NPL,2020,1154.215176,LMC
PAK,2020,1278.397352,LMC
PSE,2020,3233.568638,LMC
SEN,2020,1461.087204,LMC
STP,2020,2167.220018,LMC
SWZ,2020,3454.784217,LMC
TUN,2020,3548.653637,LMC
TZA,2020,1117.415283,LMC
ZMB,2020,951.6443167,LMC
ZWE,2020,1730.45391,LMC
DZA,2020,3743.541952,MNA
IRN,2020,2988.781224,MNA
IRQ,2020,4295.189451,MNA
LBY,2020,6650.338106,MNA
MDV,2020,7393.888654,SAS
BWA,2020,6323.297498,SSA
CPV,2020,3539.226612,SSA
GAB,2020,6605.803461,SSA
GNQ,2020,5764.055029,SSA
MUS,2020,9011.042884,SSA
ZAF,2020,5580.603831,SSA
AUS,2021,60607.77886,EAP
BRN,2021,31006.96362,EAP
CHN,2021,12887.43572,EAP
FJI,2021,4696.171039,EAP
FSM,2021,3508.223563,EAP
HKG,2021,49770.56424,EAP
IDN,2021,4287.17314,EAP
JPN,2021,40094.55998,EAP
KHM,2021,2167.403242,EAP
KIR,2021,2222.048295,EAP
LAO,2021,2526.05105,EAP
MAC,2021,45376.31459,EAP
MMR,2021,1242.721344,EAP
MNG,2021,4517.61578,EAP
MYS,2021,10903.11164,EAP
NZL,2021,49689.49813,EAP
PHL,2021,3484.385939,EAP
PNG,2021,2607.578619,EAP
SGP,2021,80056.12882,EAP
SLB,2021,1996.869768,EAP
THA,2021,7057.207548,EAP
TLS,2021,2684.827024,EAP
VNM,2021,3704.193559,EAP
VUT,2021,3211.719473,EAP
WSM,2021,3947.645179,EAP
ALB,2021,6413.282808,ECA
ARM,2021,4685.179971,ECA
AUT,2021,53648.71907,ECA
AZE,2021,5408.045352,ECA
BEL,2021,51658.23829,ECA
BGR,2021,12972.21734,ECA
BIH,2021,7295.343824,ECA
BLR,2021,7489.718947,ECA
CHE,2021,93664.77367,ECA
CYP,2021,33734.03516,ECA
CZE,2021,27696.46195,ECA
DEU,2021,52265.65416,ECA
DNK,2021,69727.98737,ECA
ESP,2021,30799.47759,ECA
EST,2021,27953.76702,ECA
FIN,2021,53099.13514,ECA
FRA,2021,43725.09995,ECA
GBR,2021,46926.47574,ECA
GEO,2021,5083.606955,ECA
GRC,2021,20654.7002,ECA
HRV,2021,17789.93047,ECA
HUN,2021,19030.62813,ECA
IRL,2021,103961.9764,ECA
ISL,2021,69178.4047,ECA
ITA,2021,36852.54254,ECA
KAZ,2021,9983.601036,ECA
KGZ,2021,1349.997307,ECA
LTU,2021,23870.45949,ECA
LUX,2021,134965.8154,ECA
LVA,2021,20261.88878,ECA
MDA,2021,5274.605822,ECA
MKD,2021,7620.80297,ECA
MNE,2021,9377.488797,ECA
NLD,2021,60141.98809,ECA
NOR,2021,93072.89251,ECA
POL,2021,18635.50888,ECA
PRT,2021,24711.45101,ECA
ROU,2021,14986.78549,ECA
RUS,2021,12425.0293,ECA
SRB,2021,9680.527981,ECA
SVK,2021,22132.4483,ECA
SVN,2021,29187.36938,ECA
SWE,2021,61174.96802,ECA
TJK,2021,896.7480534,ECA
TKM,2021,7051.202111,ECA
TUR,2021,9743.212778,ECA
UKR,2021,4775.945801,ECA
UZB,2021,2258.519641,ECA
ARE,2021,43360.0211,HIC
ATG,2021,17348.6007,HIC
BHR,2021,27147.80839,HIC
BHS,2021,30367.86058,HIC
BRB,2021,18696.7859,HIC
CAN,2021,52886.66164,HIC
CHL,2021,16206.83255,HIC
CRI,2021,12838.11854,HIC
GUY,2021,9860.870148,HIC
ISR,2021,52270.90402,HIC
KWT,2021,34018.63429,HIC
MLT,2021,38065.35435,HIC
OMN,2021,19403.46002,HIC
PAN,2021,15509.80691,HIC
PRI,2021,32619.07046,HIC
QAT,2021,71751.88313,HIC
SAU,2021,31920.76537,HIC
SYC,2021,14982.91115,HIC
TTO,2021,17679.18126,HIC
URY,2021,17881.81872,HIC
USA,2021,71307.40173,HIC
ARG,2021,10738.01792,LAC
BLZ,2021,6122.611586,LAC
BOL,2021,3384.844865,LAC
BRA,2021,7972.53665,LAC
COL,2021,6222.621644,LAC
DOM,2021,8527.075486,LAC
ECU,2021,6061.323502,LAC
GRD,2021,9622.240505,LAC
GTM,2021,4912.622257,LAC
HND,2021,2735.147515,LAC
HTI,2021,1835.443941,LAC
JAM,2021,5165.337821,LAC
LCA,2021,10459.13212,LAC
MEX,2021,10314.05067,LAC
NIC,2021,2138.385885,LAC
PER,2021,6826.202556,LAC
PRY,2021,5976.931798,LAC
SLV,2021,4642.607431,LAC
SUR,2021,5029.848385,LAC
VCT,2021,8641.27904,LAC
BDI,2021,214.0914554,LIC
BFA,2021,895.5352884,LIC
CAF,2021,492.2631428,LIC
COD,2021,558.0340773,LIC
GMB,2021,781.8909252,LIC
GNB,2021,912.4841047,LIC
LBR,2021,667.9661051,LIC
MDG,2021,483.4694634,LIC
MLI,2021,1027.273454,LIC
MOZ,2021,509.9078295,LIC
MWI,2021,617.4475208,LIC
NER,2021,608.7224396,LIC
RWA,2021,829.5448456,LIC
SDN,2021,712.1220093,LIC
SLE,2021,886.1929391,LIC
SOM,2021,549.1147427,LIC
TCD,2021,946.3585002,LIC
TGO,2021,939.6133738,LIC
UGA,2021,882.7917174,LIC
AGO,2021,1925.874661,LMC
BEN,2021,1318.651581,LMC
BGD,2021,2482.849178,LMC
CIV,2021,2455.981276,LMC
CMR,2021,1672.326573,LMC
COG,2021,2516.162551,LMC
COM,2021,1587.729886,LMC
DJI,2021,3025.911264,LMC
EGY,2021,3827.354154,LMC
GHA,2021,2445.186625,LMC
GIN,2021,1244.965505,LMC
IND,2021,2239.613844,LMC
JOR,2021,4183.499983,LMC
KEN,2021,2061.356221,LMC
LKA,2021,3996.9624,LMC
LSO,2021,1066.586436,LMC
MAR,2021,3785.936279,LMC
MRT,2021,1947.789184,LMC
NAM,2021,4412.835569,LMC
NGA,2021,2017.274865,LMC
NPL,2021,1252.750767,LMC
PAK,2021,1455.319224,LMC
PSE,2021,3678.635657,LMC
SEN,2021,1598.10677,LMC
STP,2021,2362.588272,LMC
SWZ,2021,3966.298633,LMC
TUN,2021,3906.939263,LMC
TZA,2021,1159.856567,LMC
ZMB,2021,1127.160779,LMC
ZWE,2021,1724.387271,LMC
DZA,2021,4160.559267,MNA
IRN,2021,4334.792686,MNA
IRQ,2021,4868.494311,MNA
LBY,2021,4935.827873,MNA
MDV,2021,10176.14388,SAS
BWA,2021,7807.887945,SSA
CPV,2021,3971.444092,SSA
GAB,2021,8181.409141,SSA
GNQ,2021,6945.630698,SSA
MUS,2021,9068.973002,SSA
ZAF,2021,6843.399419,SSA
AUS,2022,64997.01365,EAP
BRN,2022,36632.92804,EAP
CHN,2022,12970.60564,EAP
FJI,2022,5405.030062,EAP
FSM,2022,3710.124485,EAP
HKG,2022,48825.84419,EAP
IDN,2022,4730.834848,EAP
JPN,2022,34065.6439,EAP
KHM,2022,2325.0305,EAP
KIR,2022,2069.767201,EAP
LAO,2022,2046.404403,EAP
MAC,2022,36909.95641,EAP
MMR,2022,1158.05005,EAP
MNG,2022,4993.514875,EAP
MYS,2022,11748.09193,EAP
NZL,2022,48760.03819,EAP
PHL,2022,3548.069306,EAP
PNG,2022,3102.289686,EAP
SGP,2022,90299.06946,EAP
SLB,2022,2005.413993,EAP
THA,2022,6909.352818,EAP
TLS,2022,2343.245234,EAP
VNM,2022,4147.697772,EAP
VUT,2022,3292.341088,EAP
WSM,2022,3869.466395,EAP
ALB,2022,6846.426694,ECA
ARM,2022,6571.974455,ECA
AUT,2022,52176.66491,ECA
AZE,2022,7770.594223,ECA
BEL,2022,50822.25185,ECA
BGR,2022,13999.67192,ECA
BIH,2022,7655.59421,ECA
BLR,2022,7994.648061,ECA
CHE,2022,94394.51068,ECA
CYP,2022,33894.44922,ECA
CZE,2022,28282.22367,ECA
DEU,2022,49686.11546,ECA
DNK,2022,68091.31911,ECA
ESP,2022,30270.2687,ECA
EST,2022,28451.14778,ECA
FIN,2022,50440.56022,ECA
FRA,2022,41082.81193,ECA
GBR,2022,46062.99141,ECA
GEO,2022,6729.846599,ECA
GRC,2022,20971.83493,ECA
HRV,2022,18466.09555,ECA
HUN,2022,18483.63669,ECA
IRL,2022,105234.5116,ECA
ISL,2022,75121.01523,ECA
ITA,2022,35653.90421,ECA
KAZ,2022,11255.33964,ECA
KGZ,2022,1739.720183,ECA
LTU,2022,25085.78406,ECA
LUX,2022,123719.6589,ECA
LVA,2022,20227.23074,ECA
MDA,2022,5744.296184,ECA
MKD,2022,7606.237525,ECA
MNE,2022,9990.204446,ECA
NLD,2022,59123.31856,ECA
NOR,2022,109269.5206,ECA
POL,2022,18891.21353,ECA
PRT,2022,24620.51956,ECA
ROU,2022,15557.88262,ECA
RUS,2022,15619.61426,ECA
SRB,2022,10022.96885,ECA
SVK,2022,21334.6011,ECA
SVN,2022,28373.83823,ECA
SWE,2022,55296.93715,ECA
TJK,2022,1052.179495,ECA
TKM,2022,8156.35212,ECA
TUR,2022,10674.50416,ECA
UKR,2022,4199.670898,ECA
UZB,2022,2578.666894,ECA
ARE,2022,49899.0653,HIC
ATG,2022,20105.19891,HIC
BHR,2022,30470.52193,HIC
BHS,2022,34957.16133,HIC
BRB,2022,22164.02603,HIC
CAN,2022,56256.80073,HIC
CHL,2022,15405.61658,HIC
CRI,2022,13625.90085,HIC
GUY,2022,17913.49281,HIC
ISR,2022,54949.62156,HIC
KWT,2022,39981.7691,HIC
MLT,2022,36224.282,HIC
OMN,2022,23223.58294,HIC
